etat,marque,annee,boite_vitesse,adresse,prix_F_Cfa,image_url
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
Venant,Jeep,2015,Automatique,"Rufisque, Dakar",8000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf1946a88c443c7b076816b693302212/-/horizon-files-prod/ed/picture/q0g7xjze/f43c89a11002734b09fec156a6b1192050802e46.jpg
